NAME,geoid,DR_COUNT,EM_COUNT,ihProgramDeclared,paProgramDeclared,femaDeclarationString_EM,femaDeclarationString_DR,POPUNI_23,PRED0_E_23,PRED0_M_23,PRED0_PE_23,PRED0_PM_23,PRED12_E_23,PRED12_M_23,PRED12_PE_23,PRED12_PM_23,PRED3_E_23,PRED3_M_23,PRED3_PE_23,PRED3_PM_23,COAST_CTY,PCT3_23,PCT3_LB_23,PCT3_UB_23,PCT3_ST_23,PCT3_ST_LB_23,PCT3_ST_UB_23,HRCN_PCT3_23,HRCN_PCT3_LB_23,HRCN_PCT3_UB_23,POPESTIMATE2024,Total_Pop_E_23,Total_Pop_M_23,HSE_Units_E_23,HSE_Units_M_23,HSE_Occ_E_23,HSE_Occ_M_23,HSE_Occ_PE_23,HSE_Occ_PM_23,Own_E_23,Own_M_23,Own_PE_23,Own_PM_23,Rent_E_23,Rent_M_23,Rent_PE_23,Rent_PM_23,DEP_Ratio_E_23,DEP_Ratio_M_23,HHLD_SSI_E_23,HHLD_SSI_M_23,HHLD_SSI_PE_23,HHLD_SSI_PM_23,HHLD_Cash_Assist_E_23,HHLD_Cash_Assist_M_23,HHLD_Cash_Assist_PE_23,HHLD_Cash_Assist_PM_23,HHLD_SNAP_E_23,HHLD_SNAP_M_23,HHLD_SNAP_PE_23,HHLD_SNAP_PM_23,HHLD_ASSIST_or_SNAP_PE_23,HHLD_ASSIST_or_SNAP_PM_23,Under_18_E_23,Under_18_M_23,Under_18_PE_23,Under_18_PM_23,65_plus_E_23,65_plus_M_23,65_plus_PE_23,65_plus_PM_23,Disability_E_23,Disability_M_23,Disability_PE_23,Disability_PM_23,ENG_LVW_E_23,ENG_LVW_M_23,ENG_LVW_PE_23,ENG_LVW_PM_23,RURAL_POP_DEC_2020,TOTAL_POP_DEC_2020,HOUSEHOLDS_DEC_2020,MULTIGEN_DEC_2020,ALAND,RURAL_POP_P_DEC_2020,MULTIGEN_P_DEC_2020,POP_DENSITY_DEC_2020,RURAL_POP_PF_DEC_2020,SAEMHI_PT_23,SAEMHI_MOE_23,SAEPOVALL_PT_23,SAEPOVALL_MOE_23,SAEPOVRTALL_PT_23,SAEPOVRTALL_MOE_23,SAEPOVU_ALL_23,UNEMP_PE_M01_24,UNEMP_M01_24,LABOR_FORCE_M01_24,UNEMP_PE_M02_24,UNEMP_M02_24,LABOR_FORCE_M02_24,UNEMP_PE_M03_24,UNEMP_M03_24,LABOR_FORCE_M03_24,UNEMP_PE_M04_24,UNEMP_M04_24,LABOR_FORCE_M04_24,UNEMP_PE_M05_24,UNEMP_M05_24,LABOR_FORCE_M05_24,UNEMP_PE_M06_24,UNEMP_M06_24,LABOR_FORCE_M06_24,UNEMP_PE_M07_24,UNEMP_M07_24,LABOR_FORCE_M07_24,UNEMP_PE_M08_24,UNEMP_M08_24,LABOR_FORCE_M08_24,UNEMP_PE_M09_24,UNEMP_M09_24,LABOR_FORCE_M09_24,UNEMP_PE_M10_24,UNEMP_M10_24,LABOR_FORCE_M10_24,UNEMP_PE_M11_24,UNEMP_M11_24,LABOR_FORCE_M11_24,UNEMP_PE_M12_24,UNEMP_M12_24,LABOR_FORCE_M12_24,UNEMP_PE_M01_25,UNEMP_M01_25,LABOR_FORCE_M01_25,UNEMP_PE_M02_25,UNEMP_M02_25,LABOR_FORCE_M02_25,UNEMP_PE_M03_25,UNEMP_M03_25,LABOR_FORCE_M03_25,UNEMP_PE_M04_25,UNEMP_M04_25,LABOR_FORCE_M04_25,UNEMP_PE_M05_25,UNEMP_M05_25,LABOR_FORCE_M05_25,UNEMP_PE_M06_25,UNEMP_M06_25,LABOR_FORCE_M06_25,HSE_Occ_PF_23,Own_PF_23,Rent_PF_23,PRED0_PF_23,PRED12_PF_23,PRED3_PF_23,DEP_Ratio_F_23,HHLD_SSI_PF_23,HHLD_Cash_Assist_PF_23,HHLD_SNAP_PF_23,HHLD_ASSIST_or_SNAP_PF_23,Under_18_PF_23,65_plus_PF_23,Disability_PF_23,ENG_LVW_PF_23,MAX_OUTAGE,total_customers,Run Start Time,MAX_OUTAGE_RUN_START_TIME,MAX_PERCENTAGE_OUT,Wind_Swath_Mode,Wind_Swath_Max,totPrecip,femaDeclarationString_IA,incidentType,disasterNumber,damagedStateAbbreviation,utilitiesOut,accessFunctionalNeeds,destroyed,validReg,ihpReferral,haReferral,onaReferral,ihpEligible,haEligible,onaEligible,habitabilityRepairsRequired,haMax,ihOwners,haEligibleOwners,onaEligibleOwners,haMaxOwners,validReg_Prop,haEligible_Prop,onaEligible_Prop,ihOwners_P,haEligible_Owners_P,onaEligible_Owners_P,haMax_Owners_P
"Somerset County, Maryland",24039,0,0,0,0,None,None,20295,5911,1158,29.13,5.71,9128,1264,44.98,6.23,5256,1123,25.9,5.53,Yes,72.97,37.05,89.94,95.82,62.49,99.99,73.28,37.33,92.8,25241,24685,-555555555,10916,55,8296,343,76,3.1,5710,329,68.8,3.5,2586,336,31.2,3.5,53.4,0.6,507,181,6.1,2.2,406,143,4.9,1.7,2281,337,27.5,3.8,28.7,3.9,4311,79,17.5,0.3,4278,52,17.3,0.2,3442,499,16.3,2.4,402,305,1.7,1.3,14705,24620,8334,399,828145299,59.7,4.8,77,2,51841,6181,4575,1075,22.9,5.4,20015,4.2,415,9772,4.2,417,9955,3.9,402,10215,3.2,311,9784,3.2,317,9841,4.4,438,9980,4.5,443,9840,4.4,427,9706,3.6,351,9865,3.8,379,9912,4,392,9799,3.6,350,9849,4.4,426,9712,4.3,416,9756,3.8,389,10147,3.7,362,9787,3.8,376,9987,4.4,450,10195,-1,1,-1,-1,0,0,-1,0,1,1,1,-1,1,1,-1,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,None,None,None,None,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888
"Talbot County, Maryland",24041,0,0,0,0,None,None,37782,13158,1759,34.83,4.66,16300,1894,43.14,5.01,8324,1628,22.03,4.31,Yes,46.66,20.16,73.31,66.66,41.66,95.82,45.89,20.89,74.65,38244,37707,-555555555,19671,73,16211,339,82.4,1.7,11784,477,72.7,2.6,4427,430,27.3,2.6,92.6,0.8,681,211,4.2,1.3,503,157,3.1,1,1727,275,10.7,1.7,12,1.8,7071,29,18.8,0.1,11060,73,29.3,0.2,6114,553,16.4,1.5,1604,297,4.4,0.8,19493,37526,16296,483,695556093,51.9,3,139.73,2,80371,8725,3777,803,10.1,2.2,37313,3.5,580,16579,3.6,601,16736,3.2,554,17101,2.8,477,16836,2.9,494,17013,3.6,633,17399,3.8,663,17376,3.8,647,17209,3.3,553,16990,3.2,546,16947,3.3,547,16565,2.9,486,16498,3.4,564,16461,3.9,634,16452,3.5,589,17014,3,522,17352,3,528,17612,3.4,618,18131,-1,1,-1,0,0,0,1,0,0,0,0,-1,1,1,-1,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,None,None,None,None,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888
"Washington County, Maryland",24043,0,0,0,0,None,None,149946,54546,5556,36.38,3.71,63833,5697,42.57,3.8,31567,4503,21.05,3,No,39.98,22.29,60.94,58.33,45.83,83.33,-888888888,-888888888,-888888888,157228,155033,-555555555,63965,140,59411,542,92.9,0.8,39145,882,65.9,1.4,20266,829,34.1,1.4,65.8,0.2,3371,471,5.7,0.8,1945,408,3.3,0.7,9397,746,15.8,1.2,16.9,1.3,33904,-555555555,21.9,-555555555,27598,135,17.8,0.1,22682,1064,15.3,0.7,4809,641,3.3,0.4,49857,154705,58640,2568,1185655256,32.2,4.4,337.94,1,71685,5165,16984,2854,11.5,1.9,148016,3.5,2399,69266,3.6,2541,69633,3.3,2320,70524,2.7,1861,69308,2.8,1975,69649,3.7,2602,70667,3.8,2677,69986,3.7,2591,69572,3.2,2213,69749,3.4,2355,70019,3.3,2307,69769,2.9,2055,69739,3.4,2378,69299,3.8,2606,69153,3.5,2477,69980,3.3,2275,69108,3.6,2465,69382,4,2827,70385,1,0,0,0,0,0,1,0,0,1,1,-1,1,1,-1,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,None,None,None,None,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888
"Wicomico County, Maryland",24045,0,0,0,0,None,None,102229,36358,4268,35.57,4.17,46443,4419,45.43,4.32,19428,3526,19,3.45,Yes,25.06,10.4,50.89,50,29.16,74.99,26.71,10.27,51.36,106329,104117,-555555555,43925,63,40034,545,91.1,1.3,24294,680,60.7,1.7,15740,759,39.3,1.7,63.2,0.6,2267,416,5.7,1,817,221,2,0.6,6781,647,16.9,1.6,17.6,1.7,23435,53,22.5,0.1,16868,234,16.2,0.2,12556,904,12.2,0.9,6044,1090,6.2,1.1,27834,103588,40018,1807,969761875,26.9,4.5,276.66,1,70975,4440,15578,2686,15.4,2.7,101252,3.6,1930,54178,3.6,1960,54738,3.4,1868,55659,2.7,1483,54510,2.7,1494,54380,3.6,1956,55092,3.7,2034,54456,3.6,1930,53673,3,1644,54248,3.3,1797,54558,3.4,1871,54453,3.3,1788,54676,3.7,2025,54215,3.8,2061,54292,3.5,1927,55242,3.2,1759,54177,3.4,1832,54454,3.8,2081,55064,1,-1,1,0,0,0,-1,0,-1,1,1,1,-1,0,-1,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,None,None,None,None,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888
"Worcester County, Maryland",24047,0,0,0,0,None,None,53936,17661,2254,32.74,4.18,24257,2413,44.97,4.47,12018,2083,22.28,3.86,Yes,48.52,24.39,72.23,74.99,50,91.66,47.77,25,73.97,54337,53279,-555555555,56585,31,23827,590,42.1,1,18286,703,76.7,2.3,5541,574,23.3,2.3,83.4,0.8,983,209,4.1,0.9,765,273,3.2,1.1,2321,388,9.7,1.6,11,1.8,9206,20,17.3,0.1,15019,125,28.2,0.2,7819,643,14.9,1.2,930,273,1.8,0.5,21487,52460,22871,776,1212887337,41,3.4,112.02,1,75459,5309,5413,1242,10.1,2.3,53391,7.2,1721,23833,6.3,1519,23995,5,1238,24965,3.8,949,25291,3,815,26991,3.2,960,29907,3.2,992,30720,3.2,957,30136,2.9,827,28445,3.5,925,26508,4.6,1145,24774,5.4,1320,24586,7.1,1710,24234,6.4,1560,24194,5.1,1290,25365,4,1032,25949,3.3,914,27825,3.2,998,31064,-1,1,-1,0,0,0,1,-1,0,-1,0,-1,1,1,-1,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,None,None,None,None,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888
"Baltimore city, Maryland",24510,0,0,0,0,None,None,552466,179324,22031,32.46,3.99,233002,23759,42.17,4.3,140140,19702,25.37,3.57,Yes,70.32,46.53,83.39,91.66,70.83,99.99,70.2,46.91,85.61,568271,577193,-555555555,293631,244,250608,1325,85.3,0.4,119077,1987,47.5,0.8,131531,2214,52.5,0.8,55.8,0.1,20851,1124,8.3,0.4,12974,756,5.2,0.3,59108,1416,23.6,0.6,24.7,0.6,120494,43,20.9,0.1,86161,83,14.9,0.1,93856,2334,16.5,0.4,23380,1660,4.3,0.3,0,585708,251479,13325,209649328,0,5.3,7235.78,1,58616,3000,110261,10836,20.2,2,546810,4.1,11534,280911,4,11274,280967,3.8,10747,282443,3.4,9655,281132,3.7,10334,280852,4.3,12240,284682,4.6,13249,287738,4.6,13273,285509,3.9,10989,281912,4.2,11844,282823,4.1,11483,281936,3.8,10716,281687,4.2,11977,281836,4.3,12069,279623,4.1,11565,280430,3.9,10798,280351,4.3,12042,280050,4.8,13758,284310,-1,-1,1,0,0,1,-1,1,1,1,1,-1,-1,1,-1,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,None,None,None,None,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888
"Barnstable County, Massachusetts",25001,0,0,0,0,None,None,230315,80641,7557,35.01,3.28,104605,7785,45.42,3.38,45069,6104,19.57,2.65,Yes,29.32,16.19,49.45,71.42,42.85,85.71,31.5,16.44,49.65,232570,230073,-555555555,165661,157,102981,1224,62.2,0.7,82954,1284,80.6,1,20027,1044,19.4,1,87.6,-555555555,4517,500,4.4,0.5,2372,385,2.3,0.4,8591,788,8.3,0.8,9.3,0.7,33175,-555555555,14.4,-555555555,74234,-555555555,32.3,-555555555,32487,1632,14.3,0.7,8291,1130,3.7,0.5,6397,228996,103368,2919,1020973583,2.8,2.8,580.91,1,89448,3541,20388,3581,8.9,1.6,228140,6.8,7371,107985,7.1,7672,107740,6.2,6849,109667,4.7,5229,110775,4.3,4945,115816,4.1,5127,126577,4.1,5408,132905,3.8,4993,131729,3.5,4167,119845,3.9,4574,117825,4.5,5235,115295,5.4,6265,115438,7.1,8299,116388,7.7,8868,115459,7.1,8265,115944,5.8,6899,117977,5.4,6570,120875,4.5,5704,128039,-1,1,-1,0,0,0,1,-1,0,-1,-1,-1,1,1,-1,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,None,None,None,None,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888
"Berkshire County, Massachusetts",25003,0,0,0,0,None,None,123695,45369,4446,36.68,3.59,52813,4551,42.7,3.68,25513,3610,20.63,2.92,No,37.11,20.29,57.88,85.71,50,92.85,-888888888,-888888888,-888888888,128726,128047,-555555555,69861,109,56517,835,80.9,1.2,39542,870,70,1.4,16975,851,30,1.4,69.6,0.1,3345,415,5.9,0.7,2125,356,3.8,0.6,8793,665,15.6,1.1,16.7,1.1,21024,-555555555,16.4,-555555555,31527,40,24.6,0.1,19793,1147,15.7,0.9,2643,517,2.2,0.4,44755,129026,57015,1346,2400592147,34.7,2.4,139.21,1,74535,5239,15266,2607,12.5,2.1,122144,4.5,2881,64258,4.7,3006,64107,4.4,2806,64308,3.6,2267,63150,3.8,2445,63722,4.1,2691,65470,4.2,2799,66459,4,2633,65373,3.4,2181,63578,3.7,2351,63910,3.8,2438,63404,4.2,2689,64096,4.9,3189,64835,5.3,3391,64346,5.2,3376,64662,4.7,3003,64140,5,3202,64635,4.4,2848,65300,-1,1,-1,0,0,0,1,1,1,1,1,-1,1,1,-1,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,None,None,None,None,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888
"Bristol County, Massachusetts",25005,0,0,0,0,None,None,574481,230357,16139,40.1,2.81,233990,16287,40.73,2.84,110134,12402,19.17,2.16,Yes,26.14,16.6,43.38,50,42.85,85.71,27.39,16.78,43.83,588593,578436,-555555555,244166,171,232202,954,95.1,0.4,144543,1769,62.2,0.7,87659,1735,37.8,0.7,61.7,-555555555,17049,1002,7.3,0.4,9242,933,4,0.4,44171,1593,19,0.7,20.2,0.7,119887,-555555555,20.7,-555555555,100780,-555555555,17.4,-555555555,83392,2401,14.6,0.4,45090,1859,8.2,0.3,60491,579200,229293,10266,1432555935,10.4,4.5,1047.16,1,81047,2009,72670,6493,12.7,1.1,569976,5.3,16237,307100,5.5,16927,309875,4.9,15419,311732,4.1,12735,311111,4.2,13223,311323,4.7,14752,316688,5.2,16336,316334,4.9,15414,316120,4.2,13054,312476,4.3,13370,311753,4.3,13555,312046,4.7,14674,312799,5.9,18511,314622,6.2,19628,315289,6,18904,315910,5.4,16943,315907,5.7,18089,317850,5.2,16456,317304,1,-1,1,1,-1,0,-1,1,1,1,1,-1,1,1,0,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,None,None,None,None,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888
"Dukes County, Massachusetts",25007,0,0,0,0,None,None,20807,6630,1654,31.86,7.95,9985,1715,47.99,8.24,4192,1352,20.15,6.5,Yes,33.73,4.83,74.67,78.56,14.28,99.99,-888888888,-888888888,-888888888,21061,20751,-555555555,17713,22,7362,547,41.6,3.1,5495,443,74.6,4.5,1867,394,25.4,4.5,76.2,2.2,270,197,3.7,2.6,98,89,1.3,1.2,557,261,7.6,3.5,8,3.6,3590,85,17.3,0.4,5387,123,26,0.6,2246,523,10.9,2.5,1793,719,9,3.6,6536,20600,8932,220,267292993,31.7,2.5,199.61,1,94059,9865,1755,444,8.5,2.1,20726,7.7,724,9447,8.1,766,9422,7.3,714,9806,5.5,539,9833,4.3,458,10571,3.6,448,12286,3.2,431,13552,2.9,393,13520,2.9,340,11695,3.6,392,10797,5.1,521,10139,6,605,10125,8.3,822,9854,9,871,9727,8.5,847,10017,6.9,706,10206,5.7,613,10814,3.9,487,12504,-1,1,-1,0,0,0,1,0,-1,-1,-1,-1,1,0,0,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,None,None,None,None,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888
"Essex County, Massachusetts",25009,0,0,0,0,None,None,800086,311284,21050,38.91,2.63,333999,22214,41.75,2.78,154803,18282,19.35,2.29,Yes,27.7,16.86,45.48,57.14,42.85,85.71,28.42,17.12,45.89,823938,807258,-555555555,328460,128,311676,1208,94.9,0.4,199350,2080,64,0.7,112326,2190,36,0.7,63.9,0.1,18147,1081,5.8,0.3,14239,939,4.6,0.3,49859,1613,16,0.5,17.3,0.5,169420,61,21,0.1,145373,64,18,0.1,97140,2537,12.1,0.3,93179,2793,12.2,0.4,41743,809829,309030,15782,1275604956,5.2,5.1,1644.28,1,96303,3367,76541,8943,9.6,1.1,793505,4.1,18299,445078,4.3,19263,445685,4,18114,449146,3.5,15763,446067,3.9,17500,445506,4.3,19442,453153,4.6,20912,453994,4.4,20067,451888,3.9,17323,445848,4,17918,449518,4,17820,449959,4.2,18822,451578,4.7,21441,454747,5,22799,453741,5,22822,453937,4.7,21493,454429,5.3,24305,456093,4.9,22551,457574,1,-1,1,1,-1,0,0,1,1,1,1,-1,1,-1,1,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,None,None,None,None,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888
"Franklin County, Massachusetts",25011,0,0,0,0,None,None,70192,24900,2493,35.47,3.55,31612,2540,45.04,3.62,13680,1974,19.49,2.81,No,28.81,15.11,49.9,64.28,35.71,85.71,-888888888,-888888888,-888888888,70871,70922,-555555555,34424,67,31498,335,91.5,1,21650,478,68.7,1.5,9848,488,31.3,1.5,69,0.3,1681,246,5.3,0.8,1080,203,3.4,0.6,5080,388,16.1,1.2,17.4,1.3,11979,-555555555,16.9,-555555555,16973,73,23.9,0.1,11986,638,17,0.9,1641,276,2.4,0.4,38962,71029,31323,779,1810943461,54.9,2.5,101.58,2,71256,3947,8325,1258,11.9,1.8,69741,3.9,1422,36041,4,1452,36279,3.7,1352,36821,3.1,1127,36651,3.4,1248,36752,3.8,1405,37316,4.1,1528,36922,3.9,1432,37170,3.2,1162,36556,3.3,1233,37350,3.4,1255,37356,3.7,1387,37531,4.4,1646,37364,4.7,1750,37324,4.6,1737,37609,4.1,1546,37311,4.8,1792,37445,4.3,1618,37577,1,1,-1,0,0,0,1,0,1,1,1,-1,1,1,-1,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,None,None,None,None,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888
"Hampden County, Massachusetts",25013,0,0,0,0,None,None,451848,149202,14435,33.02,3.19,195836,15356,43.34,3.4,106810,12718,23.64,2.81,No,58.92,40.04,73.72,92.85,78.56,99.99,58.73,40.06,75.33,464151,462853,-555555555,197210,122,184217,840,93.4,0.4,114621,1556,62.2,0.8,69596,1643,37.8,0.8,63.7,0.1,20440,1095,11.1,0.6,9061,721,4.9,0.4,44416,1624,24.1,0.9,25.4,0.9,97550,149,21.1,0.1,82518,36,17.8,0.1,75296,2339,16.4,0.5,47241,1849,10.8,0.4,44381,465825,185030,8222,1598035447,9.5,4.4,754.98,1,67155,3995,78475,6779,17.6,1.5,447106,5.3,11888,222965,5.4,12178,223891,5,11316,225861,4.3,9703,224236,4.7,10623,223645,5.2,11896,226680,5.9,13326,227363,5.6,12619,226558,4.8,10707,225208,4.8,10819,226547,4.8,10809,225164,5,11415,227051,5.8,13142,228509,6,13822,229144,6,13672,229285,5.6,12761,229437,6.2,14276,230402,5.8,13324,229957,1,-1,1,0,0,1,-1,1,1,1,1,-1,1,1,1,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,None,None,None,None,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888
"Hampshire County, Massachusetts",25015,0,0,0,0,None,None,140386,59483,5035,42.37,3.59,58741,5027,41.84,3.58,22162,3701,15.79,2.64,No,7.65,3.98,24.46,28.57,14.28,57.14,-888888888,-888888888,-888888888,165399,156595,-555555555,66490,84,61770,606,92.9,0.9,42489,831,68.8,1.4,19281,911,31.2,1.4,52.1,0.2,3097,455,5,0.7,2100,409,3.4,0.7,6610,646,10.7,1,12.5,1.2,23349,56,14.9,0.1,30271,106,19.3,0.1,18744,989,12.1,0.6,4523,405,3,0.3,46334,162308,61774,1442,1365533874,28.5,2.3,307.85,1,80839,5975,17279,2633,12.4,1.9,139317,3.9,3210,83369,4,3380,85460,3.6,3075,86277,3,2554,85822,3.5,2991,85222,4,3453,86511,4.4,3758,85916,4.2,3643,85993,3.6,3095,85538,3.7,3178,86412,3.8,3280,86471,3.9,3371,86654,4.2,3631,86313,4.5,3955,86959,4.7,4088,87594,4.2,3695,87381,4.9,4263,87251,4.2,3746,88469,1,1,-1,1,0,-1,-1,0,0,-1,0,-1,1,-1,-1,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,None,None,None,None,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888
"Middlesex County, Massachusetts",25017,0,0,0,0,None,None,1583858,692994,38473,43.75,2.43,638202,39062,40.29,2.47,252662,30382,15.95,1.92,Yes,8.33,5.76,21.18,35.71,14.28,50,9.59,4.79,21.92,1668956,1622896,-555555555,660814,194,630939,1636,95.5,0.3,388864,2665,61.6,0.4,242075,2710,38.4,0.4,55.3,0.1,24800,1327,3.9,0.2,17607,1052,2.8,0.2,54324,2207,8.6,0.3,9.9,0.4,318468,52,19.6,0.1,259590,44,16,0.1,157256,3596,9.8,0.2,152950,3804,9.9,0.2,57736,1632002,625916,23013,2118293312,3.5,3.7,1995.41,1,123288,2672,120838,10216,7.7,0.6,1572446,3.5,32273,933942,3.6,33407,934133,3.4,31592,942011,2.9,27576,936106,3.4,32172,935790,3.8,36539,951987,4.1,39405,953803,4,37649,949155,3.5,32571,937509,3.6,33920,945195,3.6,33705,946238,3.7,34763,948735,4,38045,953219,4.3,40642,950651,4.3,40803,951200,4.1,38718,953078,4.8,46087,957871,4.4,42733,961423,1,-1,1,1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,1,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,None,None,None,None,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888
"Nantucket County, Massachusetts",25019,0,0,0,0,None,None,14444,5578,1054,38.62,7.3,7256,1072,50.24,7.42,1610,793,11.15,5.49,Yes,0.38,0.13,14.85,7.14,7.14,35.71,0.68,0.34,15.07,14670,14299,-555555555,12449,31,5048,332,40.5,2.7,3861,308,76.5,5.1,1187,287,23.5,5.1,56.4,4.3,178,86,3.5,1.7,134,83,2.7,1.6,304,213,6,4.1,8.3,4.1,2939,223,20.6,1.6,2217,81,15.5,0.6,1322,395,9.3,2.8,754,402,5.5,2.9,2244,14255,5478,166,119637317,15.7,3,308.6,1,108671,13494,935,229,6.5,1.6,14373,14.7,1090,7395,15.7,1167,7440,13,998,7696,6.9,554,8079,4,365,9015,3.3,357,10799,3,355,11802,2.7,313,11599,2.8,282,10074,3.1,292,9276,5.6,466,8369,9.3,774,8337,16.1,1296,8055,17.1,1375,8022,14.6,1187,8135,8.6,729,8506,5.3,497,9384,3.5,395,11259,-1,1,-1,0,0,-1,-1,0,0,-1,-1,0,-1,-1,0,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,None,None,None,None,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888
